61967831,19.916583,39.6199783
61967835,19.9185969,39.6216056
61987369,19.9090449,39.6192089
61987372,19.9085225,39.6189666
61989294,19.9181722,39.6219828
61989295,19.9174921,39.6222331
61989300,19.9132912,39.6245735
61989309,19.9153653,39.6272074
83582686,19.8534894,39.6465598
83582729,19.8713009,39.6374134
83583022,19.8648168,39.6402689
83583235,19.8549581,39.6521184
83587002,19.8488667,39.661124
83587183,19.9316359,39.6226494
83587339,19.8609698,39.6487129
83587415,19.852968,39.6471067
83587549,19.8415014,39.659284
83587588,19.9037572,39.627464
83587868,19.8574665,39.6536418
83587895,19.8527605,39.6585806
83588347,19.9257108,39.6269277
83588738,19.9205145,39.6271208
83588745,19.887773,39.6354478
83588750,19.844677,39.6583538
83588955,19.844131,39.6550406
83589031,19.9329305,39.6239369
83589415,19.8473323,39.6627934
83590225,19.9152209,39.6273789
83590285,19.8662278,39.6395769
83590322,19.8956581,39.6304291
83590473,19.9008359,39.6329371
83590645,19.8967054,39.6313421
83590953,19.891576,39.6304348
83591191,19.8880589,39.6336867
83592809,19.8574702,39.6530252
83592892,19.8953633,39.6310042
83593403,19.8460584,39.6539203
83593486,19.8531627,39.658956
83593650,19.8575003,39.6490359
83593722,19.8972641,39.631477
83593837,19.8798202,39.636515
83594567,19.8572273,39.6526126
83594597,19.8608941,39.6519265
83594723,19.9047776,39.6326487
83594888,19.8525942,39.6459896
83594912,19.9212201,39.6167454
83595070,19.8578215,39.6558229
83595234,19.869938,39.637952
83595253,19.9252931,39.6264484
83595432,19.8974282,39.6309385
83595885,19.8878077,39.6337173
83595926,19.8629249,39.6418633
83596185,19.9215618,39.6121848
83596359,19.8410408,39.659232
83596548,19.862231,39.6426597
83596561,19.8485082,39.6586027
83596695,19.8456905,39.6625419
83597368,19.8581365,39.6503953
83597487,19.9021384,39.627577
83597524,19.8533798,39.6626221
83597661,19.8574904,39.6532769
83597779,19.909399,39.6262608
83598336,19.8847016,39.636361
83598554,19.8477343,39.6528736
83598665,19.8876081,39.6341758
83599259,19.8487171,39.6612794
83599466,19.8569247,39.6543632
83600110,19.8533016,39.6473019
83600648,19.9010013,39.6303986
83601154,19.9014669,39.6325695
83601233,19.8811677,39.6364169
83601340,19.8767587,39.6355009
83601353,19.8581282,39.6552972
83601707,19.8535249,39.6589617
83601796,19.8418223,39.658274
